Well PlateID Sample Detector Cts
34 D controlB gene_dh 21.4314546592365
35 D controlB gene_hl 20.6617272286417
36 D controlB gene_by 20.7429802145681
37 D controlB gene_ev 19.7406038517418
38 D controlB gene_jr 20.9170778664594
39 D controlB gene_dq 18.728961936165
40 D controlB gene_rz 21.2820110142392
41 D controlB gene_iv 21.2111090998191
42 D controlB gene_vx 19.9599353887929
43 D controlB gene_ai 19.2464885799813
44 D controlB gene_dr 20.4832936051055
45 D controlB gene_fr 21.2785374125132
46 D controlB gene_gx 21.6868757078195
47 D controlB gene_eg 19.1716944263018
48 D controlB gene_az 20.7179112195396
49 D controlB gene_xz 19.978650737735
50 D controlB gene_fw 19.8522036845548
